job_address,job_duty,job_name,job_require,job_time,job_type
深圳,"1.基于会员权益体系和平台功能，面向泛游戏用户，设计如闯关挑战等平台新的增长裂变玩法，扩大会员用户规模及留存；
2.建立用户承接和用户触达体系，包含但不限于用户成长体系、用户动线设计、push&弹窗等用户触达漏斗的全链路效率和策略。并根据游戏用户生命周期不同阶段的诉求，持续提升用户长期留存；
3.理解买量投放逻辑，以ROI为导向设计买量增长用户的运营活动、承接路径和后续留存；
4.持续探索并落地增长产品策略，规划会员权益体系增长的roadmap。",游戏会员增长产品经理,"1.3年以上互联网产品策划经验，尊重用户，有增长/会员产品策划经验优先，游戏爱好者优先；
2.逻辑性强，强结果导向，具备商业逻辑和产品思维；
3.对数据敏感，有良好的数据实验驱动产品迭代和解决问题的能力，熟悉SQL、Python等数据处理技能者优先；
4.具备优秀的跨团队沟通和协调能力，拥有强烈的责任心和学习能力。",2024年01月29日,产品
广州,"1.通过机器学习、因果推断等技术方案推进业务策略迭代和优化，提升小程序推荐和搜索的用户体验；
2.负责小程序业务数据分析，洞察业务问题，发现业务机会，为产品优化提供决策依据，并主动推动落地；；
3.设计AB实验方案，开展实验评估，洞察业务机会以推进推荐产品业务效果优化。",小程序数据分析,"1.1-3年数据分析相关工作经验，自驱力强、积极主动，具有良好的分析并解决问题的能力，具备良好的沟通和学习能力，有团队合作精神；
2.熟悉SQL/Hive/Python等，具备海量数据处理、数据分析等经验；
3.数据科学、应用研究相关岗位，有推荐系统工作经验优先；
4.熟悉统计学原理，熟悉ABTest和因果推断原理优先。",2024年01月09日,技术
深圳,"1.负责腾讯游戏大数据平台的开发和运营工作，建设一站式的可视化大数据开发平台；
2.负责离线/实时数据应用开发平台的建设工作，并能优化和提升引擎的执行效率；
3.负责数据指标特征体系建设，并能提升存取效率和降低成本；
4.负责数据统一接入集成系统开发，提供数据的清洗和质量监控，稳定性保证等支持。",腾讯游戏高级开发工程师(大数据平台),"1.研究生2年、本科3年以上数据处理、分析相关项目经验；
2.熟练使用SQL，Hive等技术，了解Hadoop/spark工作原理；
3.熟悉linux操作系统开发环境，熟悉java、Python等；
4.有storm、flink、spark等实时计算统计开发经验，API接口开发经验者优先；
5.数据敏感，有良好的逻辑思维能力，较强的沟通能力和团队合作精神，勇于承担工作压力。",2024年02月04日,技术
Los Angeles,"Welcome to Lightspeed LA, the first U.S.-based, AAA game development studio for Tencent Games. Lightspeed LA is focused on building open-world games that emphasize an ambitious living world, sophisticated player-driven gameplay, and mature, thoughtful storytelling. We are developing the first in a series of genre-defining titles.
 
Why join Lightspeed LA?
 
For us, it’s not only about the exciting, new AAA open world game we’re developing but also about team values and studio culture. We foster an open and transparent environment where everyone feels comfortable providing constructive feedback about all aspects of our games.
We encourage the showing of work that’s still in progress.
We don’t attack or question unfinished work, we celebrate its promise.
We have a No Blame Culture where we blame the problem, not the person.
 
This is a safe place to fail, and we don't view failure as a negative, but as the natural result of pushing boundaries and trying new things. We create together. We face challenges together. We succeed together.
 
About this position at Lightspeed LA
 
This is an exciting opportunity for an experienced and passionate Senior Motion Capture Tech Artist to join our in-house team and help create world-class performance capture on a new and exciting open-world AAA game. We are seeking someone who will bring passion to the role, collaborating closely with the motion capture and other disciplinary teams, to help create outstanding performances. Below is an outline of responsibilities and some of the qualities we look for in the ideal teammate.

Responsibilities:
Act as the backbone for the technology of the motion capture department, working to bridge the gap between art and technology through tool and pipeline support, tool creation and maintenance.
Look for and improve processes, assisting with department goals to achieve automation and quality deliveries.
Identify and manage technical dependencies and risks for the studio.
Support the technical direction of the motion capture pipeline, offering ideas and collaborating with stakeholders, ensuring that the pipeline is efficient and reliable.
Collaborate with other department’s technical leadership to align tasks.
Take responsibility for the creation, maintenance, operation and troubleshooting of proprietary Capture Tools.
Assist where needed in the production process, including preparation, setup, operation, and maintenance of motion capture systems and associated hardware.
Maintenance and documentation of stage computers/upgrades, working with IT to align any replacements or upgrades.
Basic IT knowledge and ability to help team troubleshoot any issues.
Understanding of signal connections between Shotgrid, Shogun, Unreal, facial capture helmet-mounted camera systems (such as Technoprops, Faceware, or Standard Deviation), Hyperdeck, A/V and timecode.
Assist with development of proprietary tools, pipelines, new technologies, and processes.
Accurately document workflows and pipelines to maintain a comprehensive knowledge base.
Contribute to post-mortems, provide constructive feedback, and actively participate in improving the motion capture process and data output.
Run a monthly tech meeting to assess potential issues, upgrades, development work, etc. and keep track of development progress.
Work Location: US-Los Angeles",Senior Motion Capture Tech Artist,"Minimum 6 years of experience in motion capture operations related to video games, television, film or other related industry.
Strong proficiency in programming languages (python and/or c++) and custom script development for motion capture pipelines.
Experience using Python to run Black Magic and Unreal Engine tools a plus
Familiarity with industry-standard processes, protocols, and best practices related to motion capture, animation, and visual effects.
Experience in working with industry-leading motion capture technology and animation tools, including Vicon Shogun, Motion Builder, Unreal Engine, etc.
Understanding of virtual cameras, real-time rendering, and virtual production techniques
Understand cinematic language and camera terminology.
Understanding of Rigging and differences between animation and motion capture rigs
Knowledge of timecode, A/V, BlackMagic, Teradeks and/or other similar hardware
Ability to stream live performance into game engine and/or animation software.
Willingness to learn new technologies, adapt to proprietary animation pipelines, and stay updated with the latest trends and advancements in motion capture.
Ability to troubleshoot technical issues, think critically, and find solutions efficiently during motion capture sessions.
Ability to work effectively as part of a team, collaborate with animation leads and directors, and communicate clearly and concisely with performers and other production personnel.
Experience in operating, maintaining, and troubleshooting motion capture hardware, including cameras, suits, markers, facial capture systems, timecode, and video equipment.
Proven ability to work efficiently and deliver high-quality results within tight deadlines.
Believe in collaboration, integrity, creativity, and proactivity.
 ",2023年10月13日,Design & Art
武汉,"1.参与基础高精数据编译工具链，编译流程，监控与质检脚本等的开发工作，支持地图渲染，定位等业务的服务端开发部署工作；
2.应用系统的运行支持和维护，能跟踪、分析并解决线上问题；
3.跨团队沟通配合，完成相关任务。",引擎后台开发,"1.本科以上学历，计算机相关专业；
2.计算机基础扎实，掌握python/shell/语言，并熟悉go/java/c++中的至少一种，熟悉Linux开发环境；
3.良好的代码风格和文档习惯；
4.优秀的逻辑思维能力，可独立分析、归纳并使用创造性方案解决问题；
5.注：此岗位为腾讯集团旗下子公司编制岗。",2024年01月29日,技术
深圳,"1.负责商品相关的知识图谱构建工作，包括商品图谱定义，实体识别，关系抽取，同义词/上下位词挖掘等工作；
2.负责知识图谱相关的算法研究工作，包括实体链指，实体融合，知识表示，知识推理，知识问答等相关技术研究；
3.负责相关算法的流程设计，包括数据抓取，结构化或者非结构化数据的清洗，挖掘，提取，存储以及查询等服务。",商品图谱算法工程师,"1.计算机相关专业方向本科、硕士或博士，对自然语言处理，知识图谱等技术有一定的了解；
2.熟悉C++，Python等编程，有一些机器学习模型开发及优化经验；
3.深入理解常见机器学习，深度学习等算法原理，有比较扎实的统计原理等基础；
4.快速学习能力，对创新工作富有激情，喜欢挑战自我，主动自驱。",2024年01月24日,技术
武汉,"1.参与地图数据自动化生产算法平台建设，负责深度学习算法模型的工程化和服务化，支持对内、对外提供服务接口；
2.参与通用算法微服务框架及服务治理平台的研发和迭代，引进腾讯云等基础设施中间件，提升算法快速应用落地能力；
3.参与算法模型部署架构设计，算法服务监控等关键架构问题和技术难题、推动技术革新，系统性能调优。",腾讯地图数据智能中心后端开发,"1.计算机科学、电子信息、自动化、通信工程等信息技术相关专业本科以上学历，2年以上工作经验；
2.熟悉Linux开发环境、熟悉常见的数据结构和算法设计，有云服务化软件基础架构开发及服务器后端系统开发经验；
3.具有扎实的编程基础，熟练掌握Python、Golang等语言，熟悉Python优先；
4.有较强的Linux程序性能和缺陷诊断和分析的能力；
5.熟悉主流的数据库、缓存、消息队列、分布式框架、分布式存储的工作原理，有运维及性能调优经验；
6.熟悉开源微服务框架RPC/GRPC等， 微服务、服务编排等实战经验优先；
7.具备算法平台搭建、算法模型部署、算法数据平台等相关经验者优先；
8.对算法工程化有热情，具备良好的执行力、沟通能力和团队协作能力优先；
9.注：此岗位为腾讯集团旗下子公司编制岗位。",2024年01月18日,技术
深圳,"1.综合利用文本和多模态技术，优化包括意图识别，需求分类，属性抽取等模块效果，提升对用户query和商品的理解能力；
2.优化深度语义相关性算法，优化用户画像和兴趣建模，提升搜索相关性以及个性化排序效果，更好的满足用户需求；
3.与搜索架构，产品，运营同学密切配合，推动相关产品落地上线。",商品搜索算法工程师,"1.对机器学习，自然语言处理，大模型，搜索等相关算法有扎实的基础和研究热情；
2.对创新工作富有激情，喜欢挑战自我，主动自驱；
3.计算机，数学，自然语言处理，机器学习及相关专业研究生，博士生或有相关工作经验优先；
4.熟悉Python，C++与linux开发，熟悉tensorflow，pytorch等深度学习框架优先。",2024年01月05日,技术
深圳,"1.针对腾讯广告业务，从全链路视角，对转化数据在系统应用问题，以及其它重难点问题开展深入分析研究，从转化数据质量角度洞察广告系统的机会点，构建转化数据入模型和机制的标准， 推进业务效果提升；；
2.对接业务方需求， 通过专业经验和系统数据分析验证判断需求合理性，转化成系统化需求。；
3.开展重点业务、战略性业务的分析研究，洞察问题和优化方向。。",腾讯广告数据科学高级研究员,"1.统计学/数学/经济学/计算机背景，硕士及以上学历；；
2.熟练使用sql/python，同时会使用java/scala等开发；；
3.对计算广告或者电商推荐有一定的了解，具备良好的数据敏感性和洞察力，善于抓住问题不断下钻；；
4.优秀的逻辑思维能力，沟通表达能力，良好的团队合作精神。。",2024年01月11日,技术
北京,"1.负责机器学习平台中算法相关功能开发，包括模型训练、模型轻量化和推理加速等相关功能开发；
2.负责使用自动化机器学习技术提升广告推荐，NLP/CV等领域模型迭代效果，探索自动调参，自动网络结构搜索在业务场景落地；
3.负责AutoML的前沿算法研究和优化。",机器学习平台高级算法研究员(AutoML),"1.计算机相关专业，本科及以上学历，4年及以上工作经验；
2.熟悉C/C++/Python等编程语言，熟练掌握常用算法和数据结构；
3.熟悉TensorFlow/Pytorch等框架，了解分布式模型训练和加速方法，有机器学习平台相关算法开发经验；
4.有强烈的自主学习能力，具备良好的沟通能力和优秀的团队协作能力。",2024年01月15日,技术
北京,"1.参与大规模机器学习平台设计和研发，包括对模型训练和在线推理核心能力开发和优化；
2.参与机器学习平台相关算法优化，包括模型轻量化，自动机器学习以及优化算法的迭代和优化；
3.跟进业界前沿技术，打造业界领先的大规模机器学习平台。",机器学习平台高级研发工程师(AutoML),"1.计算机相关专业，本科及以上学历，3年及以上工作经验；
2.熟悉C/C++/Python等编程语言，熟练掌握常用算法和数据结构；
3.熟悉TensorFlow/Pytorch等框架，了解分布式模型训练和加速方法，有机器学习平台开发经验；
4.有强烈的自主学习能力，具备良好的沟通能力和优秀的团队协作能力。",2024年01月15日,技术
长沙,"1.负责腾讯云CDN平台日常运维，确保平台在各种客户场景中的稳定运行，推动问题解决方案落地；
2.通过研发自动化、智能化、数据化的工具或系统平台提升运维团队的工作效率。",CDN业务运维工程师,"1.精通linux系统以及docker，熟悉CDN相关原理和架构，熟悉DNS/HTTP/TCP/UDP/QUIC等相关协议；
2.良好的故障排查能力和风险识别能力，有技术热情，关注运维技术发展方向，并具备良好的沟通以及协同能力；
3.熟练掌握一门以上编程语言（java/golang/python/shell等）；
4.有CDN大规模平台运维经验优先。",2024年01月18日,技术
西安,"1.参与腾讯云性能优化平台功能需求的研发工作；
2.协助团队完成性能优化平台在腾讯云业务的落地；
3.建设腾讯云业务性能流水线，协助分析与解决性能问题。",C++/Golang 后台开发工程师,"1.至少熟悉 C++/Golang/Python 其中一门语言，熟悉常见数据结构和算法；
2.了解云原生、容器相关知识；
3.良好的沟通能力，对技术有热情和追求，追求卓越；
4.熟悉计算机体系结构，对操作系统、组成原理有一定了解；
5.备注：此岗位为腾讯集团旗下子公司编制岗位。",2024年01月21日,技术
深圳,"1.负责游戏客户端性能测试工作，包括测试设计和执行、性能问题分析、流程和自动化建设等；
2.负责开发、优化客户端性能测试相关的执行或分析类工具，提升测试质量和效率；
3.负责收集和分析业务测试需求，探索更多的测试方法。",《异人之下》新游客户端性能测试工程师,"1.本科以上学历，2年及以上客户端（游戏或应用）性能测试或测试开发经验；
2.熟悉至少一门开发语言，包括C/C++、Python、Java，能独立完成测试工具的开发工作；
3.熟悉计算机图形学或游戏引擎者优先；
4.具有游戏开发或者Android/IOS开发经验者优先。",2023年12月15日,技术
UK-London,"1.Collaborate with cross-functional teams to design, develop, and test software applications that utilize AI technologies.
2.Lead or participate in the procedural generation of game content, using AI to create immersive and engaging game experiences.
3.Explore the application of large language models in real-time games to enhance massive game content generation.
4.Utilize large language models in real-time games in coordination with other features for numerous replayability.
5.Stay up-to-date with the latest developments in AI and machine learning, and continuously learn and improve your skills.
Work Location: UK-London","Artificial Intelligence (AI) Developer Intern, Tencent Games Lightspeed Studios 101851","1.Bachelor’s degree or above in computer science or related field.
2. Can dedicate to the internship for 6+ months, with 32-40 hours per week.
3.Experience in game development, and familiar with Unity, UE is a plus.
3.Proficient in at least one programming language such as Python, Java, C++, etc.
4.Familiar with machine learning algorithms and frameworks such as TensorFlow, PyTorch, etc.
5.Experience with AI technologies, such as Large Language Model.
6.Good communication skills and ability to work in a team.",2023年12月16日,Technology
